account_id,username,app_id,user_id,last_post_time,daily_post_count,status
ACCOUNT_009,ai_chan_ura,2542581129421398,24116592981299477,,0,アクティブ
ACCOUNT_007,aki_6738319685,2542581129421398,9926872104055991,,0,アクティブ
ACCOUNT_008,chikako_1548,2542581129421398,23887572274188622,,0,アクティブ
ACCOUNT_010,sei_ka2000,2542581129421398,24112122328393306,,0,アクティブ
ACCOUNT_006,satorichan_0122,2542581129421398,29997707833209756,,0,アクティブ
ACCOUNT_005,karentan_0515,2542581129421398,9253576544745885,,0,アクティブ
ACCOUNT_004,akane_chan_ura,2542581129421398,29787801417533769,,0,アクティブ
ACCOUNT_003,akari_n_ura,2542581129421398,30733650642886897,,0,アクティブ
ACCOUNT_002,akari_chan_sab,2542581129421398,8091935217596688,,0,アクティブ
ACCOUNT_001,kana_chan_ura_,2542581129421398,23881245698173501,,0,アクティブ
ACCOUNT_021,rei_chan_ca,2542581129421398,9937358983026583,,0,アクティブ
ACCOUNT_022,makino092412,2542581129421398,9968599689893619,,0,アクティブ
ACCOUNT_023,sizuku009312,2542581129421398,9927458107352332,,0,アクティブ
ACCOUNT_024,erena009121,2542581129421398,30367963832817086,,0,アクティブ
ACCOUNT_025,rin122129,2542581129421398,24274633052142337,,0,アクティブ
ACCOUNT_026,seiko103912,2542581129421398,30207244905557066,,0,アクティブ
ACCOUNT_027,kaito090121,2542581129421398,24324505713808092,,0,アクティブ
ACCOUNT_028,natumi998001,2542581129421398,24000612922883855,,0,アクティブ
ACCOUNT_029,misako093413,2542581129421398,25133053796387630,,0,アクティブ
ACCOUNT_030,kira958544,2542581129421398,24445624258362692,,0,アクティブ
