hasSvgPath,text,className,success,tagName,x,backgroundColor,user,classList,y,post_index,timestamp,width,parentClasses,visible,svgPathD,height,id
False,,x90nhty x15dp1bm x1pg3x37 xqi6p0a x102ru31 x5yr21d x10l6tqk xh8yej3 xtsvl71 x1u6grsq x10e4vud x12ivgkk,True,DIV,689.1240234375,"rgb(245, 245, 245)",makino092412,"['x90nhty', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x5yr21d', 'x10l6tqk', 'xh8yej3', 'xtsvl71', 'x1u6grsq', 'x10e4vud', 'x12ivgkk']",350.35009765625,1,2025-06-26 21:13:12,53.517578125,"['x6s0dn4', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x78zum5', 'xl56j7k', 'x1n2onr6', 'x3oybdh', 'xx6bhzk', 'x12w9bfk', 'x11xpdln', 'xc9qbxq', 'x1g0dm76', 'xpdmqnj', 'x14atkfc']",True,,31.7060546875,
False,,"{'animVal': '', 'baseVal': ''}",True,path,700.3531494140625,"rgba(0, 0, 0, 0)",makino092412,[],766.741943359375,2,2025-06-26 21:13:30,14.29364013671875,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",True,,12.6119384765625,
False,,x90nhty x15dp1bm x1pg3x37 xqi6p0a x102ru31 x5yr21d x10l6tqk xh8yej3 xtsvl71 x1u6grsq x10e4vud x12ivgkk,True,DIV,691.3690185546875,"rgb(245, 245, 245)",makino092412,"['x90nhty', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x5yr21d', 'x10l6tqk', 'xh8yej3', 'xtsvl71', 'x1u6grsq', 'x10e4vud', 'x12ivgkk']",561.8846435546875,3,2025-06-26 21:13:46,32.261962890625,"['x6s0dn4', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x78zum5', 'xl56j7k', 'x1n2onr6', 'x3oybdh', 'xx6bhzk', 'x12w9bfk', 'x11xpdln', 'xc9qbxq', 'x14qfxbe']",True,,32.261962890625,
True,「いいね！」,x1i10hfl x1qjc9v5 xjbqb8w xjqpnuy xc5r6h4 xqeqjp1 x1phubyo x13fuv20 x18b5jzi x1q0q8m5 x1t7ytsu x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xdl72j9 x2lah0s xe8uvvx xdj266r x14z9mp xat24cr x2lwn1j xeuugli xexx8yu x18d9i69 x1n2onr6 x16tdsg8 x1hl2dhg xggy1nq x1ja2u2z x1t137rt x1fmog5m xu25z0z x140muxe xo1y3bh x3nfvp2 x1q0g3np x87ps6o x1lku1pv x1a2a7pz x135b78x x11lfxj5 x165d6jo,True,DIV,685.5,"rgba(0, 0, 0, 0)",makino092412,"['x1i10hfl', 'x1qjc9v5', 'xjbqb8w', 'xjqpnuy', 'xc5r6h4', 'xqeqjp1', 'x1phubyo', 'x13fuv20', 'x18b5jzi', 'x1q0q8m5', 'x1t7ytsu', 'x972fbf', 'x10w94by', 'x1qhh985', 'x14e42zd', 'x9f619', 'x1ypdohk', 'xdl72j9', 'x2lah0s', 'xe8uvvx', 'xdj266r', 'x14z9mp', 'xat24cr', 'x2lwn1j', 'xeuugli', 'xexx8yu', 'x18d9i69', 'x1n2onr6', 'x16tdsg8', 'x1hl2dhg', 'xggy1nq', 'x1ja2u2z', 'x1t137rt', 'x1fmog5m', 'xu25z0z', 'x140muxe', 'xo1y3bh', 'x3nfvp2', 'x1q0g3np', 'x87ps6o', 'x1lku1pv', 'x1a2a7pz', 'x135b78x', 'x11lfxj5', 'x165d6jo']",586.921875,4,2025-06-26 21:14:01,44,"['x6s0dn4', 'x78zum5', 'xl56j7k']",True,M1.34375 7.53125L1.34375 7.54043C1.34374 8.04211 1.34372 8.76295 1.6611 9.65585C1.9795 10.5516 2.60026 11.5779 3.77681 12.7544C5.59273 14.5704 7.58105 16.0215 8.33387 16.5497C8.73525 16.8313 9.26573 16.8313 9.66705 16.5496C10.4197 16.0213 12.4074 14.5703 14.2232 12.7544C15.3997 11.5779 16.0205 10.5516 16.3389 9.65585C16.6563 8.76296 16.6563 8.04211 16.6562 7.54043V7.53125C16.6562 5.23466 15.0849 3.25 12.6562 3.25C11.5214 3.25 10.6433 3.78244 9.99228 4.45476C9.59009 4.87012 9.26356 5.3491 9 5.81533C8.73645 5.3491 8.40991 4.87012 8.00772 4.45476C7.35672 3.78244 6.47861 3.25 5.34375 3.25C2.9151 3.25 1.34375 5.23466 1.34375 7.53125Z,36,
False,「いいね！」,"{'animVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e', 'baseVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e'}",True,svg,698.8778686523438,"rgba(0, 0, 0, 0)",makino092412,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",306.091064453125,5,2025-06-26 21:14:19,17.2442626953125,"['x6s0dn4', 'x17zd0t2', 'x78zum5', 'xl56j7k']",True,,17.47412109375,
False,「いいね！」,"{'animVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e', 'baseVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e'}",True,svg,699.4273071289062,"rgba(0, 0, 0, 0)",makino092412,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",510.46533203125,6,2025-06-26 21:14:40,16.32061767578125,"['x6s0dn4', 'x17zd0t2', 'x78zum5', 'xl56j7k']",True,,16.5380859375,
False,,x90nhty x15dp1bm x1pg3x37 xqi6p0a x102ru31 x5yr21d x10l6tqk xh8yej3 xtsvl71 x1u6grsq x10e4vud x12ivgkk,True,DIV,690.9515380859375,"rgb(245, 245, 245)",makino092412,"['x90nhty', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x5yr21d', 'x10l6tqk', 'xh8yej3', 'xtsvl71', 'x1u6grsq', 'x10e4vud', 'x12ivgkk']",708.09228515625,7,2025-06-26 21:15:04,33.096923828125,"['x6s0dn4', 'x15dp1bm', 'x1pg3x37', 'xqi6p0a', 'x102ru31', 'x78zum5', 'xl56j7k', 'x1n2onr6', 'x3oybdh', 'xx6bhzk', 'x12w9bfk', 'x11xpdln', 'xc9qbxq', 'x14qfxbe']",True,,33.0966796875,
False,「いいね！」,"{'animVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e', 'baseVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e'}",True,svg,699.09814453125,"rgba(0, 0, 0, 0)",makino092412,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",122.032958984375,8,2025-06-26 21:15:24,16.8037109375,"['x6s0dn4', 'x17zd0t2', 'x78zum5', 'xl56j7k']",True,,17.02783203125,
False,「いいね！」,"{'animVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e', 'baseVal': 'x1lliihq x135i0dr x2lah0s x1f5funs x1n2onr6 x1bl4301 x1i0azm7 x73je2i xvlca1e'}",True,svg,699.39794921875,"rgba(0, 0, 0, 0)",makino092412,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",349.2431640625,9,2025-06-26 21:15:52,16.2041015625,"['x6s0dn4', 'x17zd0t2', 'x78zum5', 'xl56j7k']",True,,16.419921875,
False,,"{'animVal': '', 'baseVal': ''}",True,path,699.5247192382812,"rgba(0, 0, 0, 0)",makino092412,[],157.3701171875,10,2025-06-26 21:16:09,15.95050048828125,"['x1lliihq', 'x135i0dr', 'x2lah0s', 'x1f5funs', 'x1n2onr6', 'x1bl4301', 'x1i0azm7', 'x73je2i', 'xvlca1e']",True,,14.07373046875,
